Student,Question,Response,Score,Submit,Start,Revisions,Time
Student 02,20,option_3,1,04:21:57,"[""01-02-2023 04:16:48"", ""01-02-2023 04:21:55""]","[[""option_3"", ""01-02-2023 04:17:33""], [""option_3"", ""01-02-2023 04:21:57""]]",67
Student 02,3,option_3,0,04:19:02,"[""01-02-2023 03:59:42"", ""01-02-2023 04:18:04""]","[[""option_3"", ""01-02-2023 04:19:02""]]",117
Student 02,13,option_3,0,04:21:08,"[""01-02-2023 04:10:17"", ""01-02-2023 04:20:58""]","[[""option_3"", ""01-02-2023 04:21:08""]]",58
Student 02,18,option_2,0,04:21:52,"[""01-02-2023 04:14:55"", ""01-02-2023 04:21:23""]","[[""option_2"", ""01-02-2023 04:21:52""]]",97
Student 03,1,option_1,1,04:00:08,"[""01-02-2023 03:58:40"", ""01-02-2023 04:19:56""]","[[""option_1"", ""01-02-2023 04:00:08""]]",89
Student 03,2,option_2,1,04:01:17,"[""01-02-2023 04:00:08"", ""01-02-2023 04:19:59""]","[[""option_2"", ""01-02-2023 04:01:17""]]",73
Student 03,3,option_1,1,04:02:27,"[""01-02-2023 04:01:17"", ""01-02-2023 04:20:03""]","[[""option_1"", ""01-02-2023 04:02:27""]]",72
Student 03,4,option_2,1,04:02:53,"[""01-02-2023 04:02:27"", ""01-02-2023 04:20:07"", ""01-02-2023 04:21:58""]","[[""option_2"", ""01-02-2023 04:02:53""]]",32
Student 03,5,option_1,1,04:06:00,"[""01-02-2023 04:02:53"", ""01-02-2023 04:20:13"", ""01-02-2023 04:21:10"", ""01-02-2023 04:21:59""]","[[""option_1"", ""01-02-2023 04:06:00""]]",195
Student 03,18,option_3,1,04:17:05,"[""01-02-2023 04:22:49""]","[[""option_3"", ""01-02-2023 04:17:05""]]",109
Student 03,19,option_3,1,04:17:25,"[""01-02-2023 04:17:05""]","[[""option_3"", ""01-02-2023 04:17:25""]]",47
Student 03,20,option_3,1,04:19:54,"[""01-02-2023 04:17:25"", ""01-02-2023 04:20:46""]","[[""option_3"", ""01-02-2023 04:19:54""]]",173
Student 03,7,option_1,0,04:21:28,"[""01-02-2023 04:20:27"", ""01-02-2023 04:21:13""]","[[""option_1"", ""01-02-2023 04:21:28""]]",28
Student 03,13,option_3,0,04:21:41,"[""01-02-2023 04:21:33""]","[[""option_3"", ""01-02-2023 04:21:41""]]",214
Student 03,15,option_2,1,04:22:22,"[""01-02-2023 04:21:51"", ""01-02-2023 04:22:05"", ""01-02-2023 04:22:18""]","[[""option_3"", ""01-02-2023 04:22:08""], [""option_2"", ""01-02-2023 04:22:22""]]",50
Student 03,6,Unanswered,0,NaN,"[""01-02-2023 04:06:00"", ""01-02-2023 04:20:17"", ""01-02-2023 04:21:11""]",Unanswered,11
Student 03,8,Unanswered,0,NaN,"[""01-02-2023 04:20:40"", ""01-02-2023 04:21:28""]",Unanswered,22
Student 03,9,Unanswered,0,NaN,NaN,Unanswered,0
Student 03,10,Unanswered,0,NaN,NaN,Unanswered,20
Student 03,11,Unanswered,0,NaN,NaN,Unanswered,0
Student 03,12,Unanswered,0,NaN,"[""01-02-2023 04:21:31""]",Unanswered,45
Student 03,14,Unanswered,0,NaN,"[""01-02-2023 04:21:40""]",Unanswered,38
Student 03,16,Unanswered,0,NaN,"[""01-02-2023 04:21:42"", ""01-02-2023 04:22:08"", ""01-02-2023 04:22:22"", ""01-02-2023 04:22:35""]",Unanswered,75
Student 03,17,Unanswered,0,NaN,"[""01-02-2023 04:22:09"", ""01-02-2023 04:22:23"", ""01-02-2023 04:22:38""]",Unanswered,116
Student 04,1,option_1,1,04:13:53,"[""01-02-2023 03:58:35"", ""01-02-2023 04:13:50"", ""01-02-2023 04:17:59"", ""01-02-2023 04:19:59""]","[[""option_1"", ""01-02-2023 03:59:56""], [""option_1"", ""01-02-2023 04:13:53""]]",134
Student 04,3,option_1,1,04:15:53,"[""01-02-2023 04:00:17"", ""01-02-2023 04:13:59"", ""01-02-2023 04:15:41"", ""01-02-2023 04:15:52""]","[[""option_1"", ""01-02-2023 04:00:21""], [""option_1"", ""01-02-2023 04:14:03""], [""option_1"", ""01-02-2023 04:15:53""]]",9
Student 04,4,option_2,1,04:15:55,"[""01-02-2023 04:00:21"", ""01-02-2023 04:08:54"", ""01-02-2023 04:14:03"", ""01-02-2023 04:15:54"", ""01-02-2023 04:18:02"", ""01-02-2023 04:21:53"", ""01-02-2023 04:22:04""]","[[""option_2"", ""01-02-2023 04:00:24""], [""option_2"", ""01-02-2023 04:14:05""], [""option_2"", ""01-02-2023 04:15:55""]]",12
Student 04,5,option_3,0,04:15:56,"[""01-02-2023 04:00:24"", ""01-02-2023 04:08:50"", ""01-02-2023 04:14:05"", ""01-02-2023 04:15:55"", ""01-02-2023 04:18:03"", ""01-02-2023 04:21:54"", ""01-02-2023 04:22:06""]","[[""option_3"", ""01-02-2023 04:01:37""], [""option_3"", ""01-02-2023 04:14:25""], [""option_3"", ""01-02-2023 04:15:56""]]",108
Student 04,6,option_2,1,04:15:57,"[""01-02-2023 04:01:37"", ""01-02-2023 04:14:25"", ""01-02-2023 04:15:56"", ""01-02-2023 04:18:07""]","[[""option_2"", ""01-02-2023 04:01:41""], [""option_2"", ""01-02-2023 04:14:26""], [""option_2"", ""01-02-2023 04:15:57""], [""option_2"", ""01-02-2023 04:15:57""]]",5
Student 04,10,option_3,1,04:18:17,"[""01-02-2023 04:05:49"", ""01-02-2023 04:06:28"", ""01-02-2023 04:08:58"", ""01-02-2023 04:16:19"", ""01-02-2023 04:17:40"", ""01-02-2023 04:17:56"", ""01-02-2023 04:18:14""]","[[""option_3"", ""01-02-2023 04:05:56""], [""option_3"", ""01-02-2023 04:06:30""], [""option_3"", ""01-02-2023 04:09:23""], [""option_3"", ""01-02-2023 04:16:21""], [""option_3"", ""01-02-2023 04:18:17""]]",37
Student 04,11,option_3,1,04:18:20,"[""01-02-2023 04:05:56"", ""01-02-2023 04:06:30"", ""01-02-2023 04:08:29"", ""01-02-2023 04:09:23"", ""01-02-2023 04:16:21"", ""01-02-2023 04:17:36"", ""01-02-2023 04:17:39"", ""01-02-2023 04:18:17""]","[[""option_3"", ""01-02-2023 04:05:58""], [""option_3"", ""01-02-2023 04:06:31""], [""option_3"", ""01-02-2023 04:16:26""], [""option_3"", ""01-02-2023 04:18:20""]]",40
Student 04,12,option_4,1,04:18:21,"[""01-02-2023 04:05:58"", ""01-02-2023 04:06:31"", ""01-02-2023 04:08:31"", ""01-02-2023 04:08:40"", ""01-02-2023 04:16:26"", ""01-02-2023 04:17:38"", ""01-02-2023 04:18:19""]","[[""option_4"", ""01-02-2023 04:06:00""], [""option_4"", ""01-02-2023 04:06:32""], [""option_4"", ""01-02-2023 04:16:29""], [""option_4"", ""01-02-2023 04:18:21""]]",7
Student 04,13,option_4,0,04:18:22,"[""01-02-2023 04:06:00"", ""01-02-2023 04:06:32"", ""01-02-2023 04:08:32"", ""01-02-2023 04:09:53"", ""01-02-2023 04:16:29"", ""01-02-2023 04:17:35"", ""01-02-2023 04:18:21""]","[[""option_4"", ""01-02-2023 04:06:05""], [""option_4"", ""01-02-2023 04:06:34""], [""option_4"", ""01-02-2023 04:08:35""], [""option_4"", ""01-02-2023 04:16:29""], [""option_4"", ""01-02-2023 04:16:29""], [""option_4"", ""01-02-2023 04:18:22""]]",12
Student 04,8,option_1,1,04:18:12,"[""01-02-2023 04:05:41"", ""01-02-2023 04:06:19"", ""01-02-2023 04:08:45"", ""01-02-2023 04:16:16"", ""01-02-2023 04:17:43"", ""01-02-2023 04:18:10""]","[[""option_1"", ""01-02-2023 04:06:26""], [""option_1"", ""01-02-2023 04:16:17""], [""option_1"", ""01-02-2023 04:18:12""]]",16
Student 04,14,option_3,1,04:18:48,"[""01-02-2023 04:06:05"", ""01-02-2023 04:06:34"", ""01-02-2023 04:08:35"", ""01-02-2023 04:16:29"", ""01-02-2023 04:18:22"", ""01-02-2023 04:18:46"", ""01-02-2023 04:22:10""]","[[""option_3"", ""01-02-2023 04:06:39""], [""option_3"", ""01-02-2023 04:16:30""], [""option_3"", ""01-02-2023 04:18:23""], [""option_3"", ""01-02-2023 04:18:48""]]",27
Student 04,16,option_1,0,04:18:34,"[""01-02-2023 04:06:55"", ""01-02-2023 04:10:25"", ""01-02-2023 04:16:31"", ""01-02-2023 04:18:33"", ""01-02-2023 04:22:20""]","[[""option_1"", ""01-02-2023 04:06:57""], [""option_1"", ""01-02-2023 04:10:27""], [""option_1"", ""01-02-2023 04:16:32""], [""option_1"", ""01-02-2023 04:16:32""], [""option_1"", ""01-02-2023 04:18:34""]]",28
Student 04,17,option_4,0,04:18:35,"[""01-02-2023 04:06:57"", ""01-02-2023 04:10:27"", ""01-02-2023 04:16:32"", ""01-02-2023 04:18:34"", ""01-02-2023 04:20:51"", ""01-02-2023 04:20:57"", ""01-02-2023 04:22:09"", ""01-02-2023 04:22:19""]","[[""option_4"", ""01-02-2023 04:07:28""], [""option_4"", ""01-02-2023 04:10:28""], [""option_4"", ""01-02-2023 04:16:35""], [""option_4"", ""01-02-2023 04:18:35""]]",53
Student 04,15,option_2,1,04:18:33,"[""01-02-2023 04:06:39"", ""01-02-2023 04:08:39"", ""01-02-2023 04:09:56"", ""01-02-2023 04:16:30"", ""01-02-2023 04:17:34"", ""01-02-2023 04:18:23"", ""01-02-2023 04:18:48"", ""01-02-2023 04:22:13""]","[[""option_2"", ""01-02-2023 04:10:25""], [""option_2"", ""01-02-2023 04:16:31""], [""option_2"", ""01-02-2023 04:18:33""]]",127
Student 04,18,option_3,1,04:23:07,"[""01-02-2023 04:07:27"", ""01-02-2023 04:10:28"", ""01-02-2023 04:16:35"", ""01-02-2023 04:18:35"", ""01-02-2023 04:20:51"", ""01-02-2023 04:21:13"", ""01-02-2023 04:22:01"", ""01-02-2023 04:22:16"", ""01-02-2023 04:22:44""]","[[""option_3"", ""01-02-2023 04:10:30""], [""option_2"", ""01-02-2023 04:18:36""], [""option_3"", ""01-02-2023 04:23:07""]]",151
Student 04,19,option_3,1,04:23:08,"[""01-02-2023 04:10:30"", ""01-02-2023 04:18:36"", ""01-02-2023 04:23:07""]","[[""option_3"", ""01-02-2023 04:11:03""], [""option_3"", ""01-02-2023 04:18:37""], [""option_3"", ""01-02-2023 04:18:37""], [""option_3"", ""01-02-2023 04:23:08""]]",33
Student 04,2,option_2,1,04:15:52,"[""01-02-2023 03:59:56"", ""01-02-2023 04:13:53"", ""01-02-2023 04:15:42"", ""01-02-2023 04:17:57"", ""01-02-2023 04:18:00""]","[[""option_2"", ""01-02-2023 04:13:59""], [""option_2"", ""01-02-2023 04:15:52""]]",38
Student 04,7,option_4,0,04:18:10,"[""01-02-2023 04:01:41"", ""01-02-2023 04:06:18"", ""01-02-2023 04:08:48"", ""01-02-2023 04:14:27"", ""01-02-2023 04:15:57"", ""01-02-2023 04:18:08""]","[[""option_2"", ""01-02-2023 04:16:16""], [""option_4"", ""01-02-2023 04:18:10""]]",340
Student 04,9,option_1,1,04:18:14,"[""01-02-2023 04:05:42"", ""01-02-2023 04:06:26"", ""01-02-2023 04:08:41"", ""01-02-2023 04:08:56"", ""01-02-2023 04:16:17"", ""01-02-2023 04:17:41"", ""01-02-2023 04:17:45"", ""01-02-2023 04:18:12""]","[[""option_1"", ""01-02-2023 04:17:56""], [""option_1"", ""01-02-2023 04:18:14""]]",28
Student 04,20,Unanswered,0,NaN,"[""01-02-2023 04:11:03"", ""01-02-2023 04:18:37"", ""01-02-2023 04:23:09""]",Unanswered,189
Student 05,3,option_1,1,04:14:02,"[""01-02-2023 03:58:50"", ""01-02-2023 04:00:25"", ""01-02-2023 04:01:17"", ""01-02-2023 04:13:58"", ""01-02-2023 04:16:16"", ""01-02-2023 04:16:20"", ""01-02-2023 04:18:16""]","[[""option_1"", ""01-02-2023 03:59:21""], [""option_1"", ""01-02-2023 04:01:18""], [""option_1"", ""01-02-2023 04:14:02""]]",43
Student 05,4,option_2,1,04:14:04,"[""01-02-2023 03:59:21"", ""01-02-2023 04:00:25"", ""01-02-2023 04:01:18"", ""01-02-2023 04:14:02"", ""01-02-2023 04:18:15""]","[[""option_2"", ""01-02-2023 03:59:33""], [""option_2"", ""01-02-2023 04:01:19""], [""option_2"", ""01-02-2023 04:01:19""], [""option_2"", ""01-02-2023 04:14:04""]]",13
Student 05,1,option_1,1,04:13:54,"[""01-02-2023 03:58:30"", ""01-02-2023 04:00:26"", ""01-02-2023 04:13:55"", ""01-02-2023 04:18:17""]","[[""option_1"", ""01-02-2023 04:01:08""], [""option_1"", ""01-02-2023 04:13:54""]]",78
Student 05,6,option_2,1,04:14:26,"[""01-02-2023 03:59:50"", ""01-02-2023 04:00:25"", ""01-02-2023 04:01:25"", ""01-02-2023 04:08:50"", ""01-02-2023 04:14:23"", ""01-02-2023 04:18:12""]","[[""option_2"", ""01-02-2023 04:01:43""], [""option_2"", ""01-02-2023 04:08:54""], [""option_2"", ""01-02-2023 04:14:26""]]",31
Student 05,10,option_3,1,04:09:23,"[""01-02-2023 04:00:14"", ""01-02-2023 04:00:24"", ""01-02-2023 04:04:12"", ""01-02-2023 04:08:58"", ""01-02-2023 04:17:17"", ""01-02-2023 04:17:48""]","[[""option_3"", ""01-02-2023 04:04:50""], [""option_3"", ""01-02-2023 04:09:23""]]",69
Student 05,11,option_3,1,04:05:03,"[""01-02-2023 04:00:19"", ""01-02-2023 04:04:51"", ""01-02-2023 04:09:23"", ""01-02-2023 04:17:16"", ""01-02-2023 04:18:33""]","[[""option_3"", ""01-02-2023 04:05:03""]]",24
Student 05,12,option_4,1,04:15:40,"[""01-02-2023 04:05:03"", ""01-02-2023 04:09:29"", ""01-02-2023 04:15:38"", ""01-02-2023 04:17:06"", ""01-02-2023 04:17:13"", ""01-02-2023 04:18:34""]","[[""option_4"", ""01-02-2023 04:05:14""], [""option_4"", ""01-02-2023 04:15:40""]]",23
Student 05,13,option_4,0,04:15:41,"[""01-02-2023 04:05:14"", ""01-02-2023 04:06:22"", ""01-02-2023 04:15:40"", ""01-02-2023 04:17:04""]","[[""option_4"", ""01-02-2023 04:05:35""], [""option_4"", ""01-02-2023 04:06:24""], [""option_4"", ""01-02-2023 04:15:41""]]",22
Student 05,14,option_3,1,04:15:42,"[""01-02-2023 04:05:35"", ""01-02-2023 04:06:24"", ""01-02-2023 04:15:41"", ""01-02-2023 04:17:03""]","[[""option_3"", ""01-02-2023 04:05:57""], [""option_3"", ""01-02-2023 04:06:25""], [""option_3"", ""01-02-2023 04:06:25""], [""option_3"", ""01-02-2023 04:15:42""]]",22
Student 05,8,option_1,1,04:08:57,"[""01-02-2023 04:00:04"", ""01-02-2023 04:00:24"", ""01-02-2023 04:03:51"", ""01-02-2023 04:06:14"", ""01-02-2023 04:08:55"", ""01-02-2023 04:17:51"", ""01-02-2023 04:18:09""]","[[""option_1"", ""01-02-2023 04:06:20""], [""option_1"", ""01-02-2023 04:08:57""]]",23
Student 05,16,option_1,0,04:15:44,"[""01-02-2023 04:06:50"", ""01-02-2023 04:09:38"", ""01-02-2023 04:10:22"", ""01-02-2023 04:15:43"", ""01-02-2023 04:16:35"", ""01-02-2023 04:16:56""]","[[""option_1"", ""01-02-2023 04:06:56""], [""option_1"", ""01-02-2023 04:09:39""], [""option_1"", ""01-02-2023 04:15:44""]]",13
Student 05,17,option_4,0,04:15:45,"[""01-02-2023 04:06:56"", ""01-02-2023 04:09:39"", ""01-02-2023 04:09:55"", ""01-02-2023 04:15:44"", ""01-02-2023 04:16:37"", ""01-02-2023 04:16:55""]","[[""option_4"", ""01-02-2023 04:09:57""], [""option_4"", ""01-02-2023 04:15:45""]]",28
Student 05,15,option_2,1,04:15:43,"[""01-02-2023 04:05:57"", ""01-02-2023 04:06:25"", ""01-02-2023 04:09:30"", ""01-02-2023 04:10:10"", ""01-02-2023 04:15:42"", ""01-02-2023 04:16:30"", ""01-02-2023 04:16:59"", ""01-02-2023 04:18:45""]","[[""option_2"", ""01-02-2023 04:10:22""], [""option_2"", ""01-02-2023 04:15:43""], [""option_2"", ""01-02-2023 04:15:43""]]",149
Student 05,19,option_3,1,04:11:02,"[""01-02-2023 04:10:09"", ""01-02-2023 04:10:24"", ""01-02-2023 04:10:59"", ""01-02-2023 04:16:15"", ""01-02-2023 04:16:39"", ""01-02-2023 04:16:48"", ""01-02-2023 04:16:52"", ""01-02-2023 04:17:12""]","[[""option_3"", ""01-02-2023 04:11:02""]]",12
Student 05,20,option_3,1,04:13:55,"[""01-02-2023 04:10:26"", ""01-02-2023 04:11:01"", ""01-02-2023 04:16:51"", ""01-02-2023 04:18:39""]","[[""option_3"", ""01-02-2023 04:13:55""]]",208
Student 05,5,option_3,0,04:14:22,"[""01-02-2023 03:59:33"", ""01-02-2023 04:00:25"", ""01-02-2023 04:01:19"", ""01-02-2023 04:14:04"", ""01-02-2023 04:18:13""]","[[""option_3"", ""01-02-2023 04:14:22""]]",43
Student 05,18,option_2,0,04:17:12,"[""01-02-2023 04:07:18"", ""01-02-2023 04:09:42"", ""01-02-2023 04:09:57"", ""01-02-2023 04:15:45"", ""01-02-2023 04:16:38"", ""01-02-2023 04:16:41"", ""01-02-2023 04:16:54"", ""01-02-2023 04:17:09""]","[[""option_3"", ""01-02-2023 04:16:15""], [""option_2"", ""01-02-2023 04:17:12""]]",152
Student 05,2,option_2,1,04:16:20,"[""01-02-2023 03:58:46"", ""01-02-2023 04:00:25"", ""01-02-2023 04:01:08"", ""01-02-2023 04:13:54"", ""01-02-2023 04:15:24"", ""01-02-2023 04:16:18"", ""01-02-2023 04:18:16""]","[[""option_2"", ""01-02-2023 04:16:20""]]",31
Student 05,9,option_1,1,04:17:48,"[""01-02-2023 04:00:09"", ""01-02-2023 04:00:24"", ""01-02-2023 04:04:01"", ""01-02-2023 04:06:20"", ""01-02-2023 04:08:57"", ""01-02-2023 04:17:19"", ""01-02-2023 04:17:50""]","[[""option_1"", ""01-02-2023 04:17:48""]]",45
Student 05,7,option_4,0,04:18:09,"[""01-02-2023 03:59:56"", ""01-02-2023 04:00:24"", ""01-02-2023 04:01:43"", ""01-02-2023 04:08:55"", ""01-02-2023 04:14:26"", ""01-02-2023 04:17:53"", ""01-02-2023 04:18:11""]","[[""option_4"", ""01-02-2023 04:18:09""]]",209
Student 06,1,option_1,1,04:00:15,"[""01-02-2023 03:58:37"", ""01-02-2023 04:20:07""]","[[""option_1"", ""01-02-2023 04:00:15""]]",102
Student 06,2,option_2,1,04:01:16,"[""01-02-2023 04:00:15"", ""01-02-2023 04:20:12""]","[[""option_2"", ""01-02-2023 04:01:16""]]",63
